"Notes"	"State"	"State Code"	"Month, Year"	"Month, Year Code"	Avg Daily Sunlight (KJ/m^2)
	"Alabama"	"01"	"Jan, 1979"	"1979/01"	8797.02
	"Alabama"	"01"	"Feb, 1979"	"1979/02"	11325.31
	"Alabama"	"01"	"Mar, 1979"	"1979/03"	17295.19
	"Alabama"	"01"	"Apr, 1979"	"1979/04"	18443.20
	"Alabama"	"01"	"May, 1979"	"1979/05"	22208.01
	"Alabama"	"01"	"Jun, 1979"	"1979/06"	24740.31
	"Alabama"	"01"	"Jul, 1979"	"1979/07"	21844.27
	"Alabama"	"01"	"Aug, 1979"	"1979/08"	21801.24
	"Alabama"	"01"	"Sep, 1979"	"1979/09"	17151.82
	"Alabama"	"01"	"Oct, 1979"	"1979/10"	17669.45
	"Alabama"	"01"	"Nov, 1979"	"1979/11"	11353.15
	"Alabama"	"01"	"Dec, 1979"	"1979/12"	9294.94
	"Alabama"	"01"	"Jan, 1980"	"1980/01"	8660.60
	"Alabama"	"01"	"Feb, 1980"	"1980/02"	12792.31
	"Alabama"	"01"	"Mar, 1980"	"1980/03"	15435.96
	"Alabama"	"01"	"Apr, 1980"	"1980/04"	19807.31
	"Alabama"	"01"	"May, 1980"	"1980/05"	21895.39
	"Alabama"	"01"	"Jun, 1980"	"1980/06"	25063.98
	"Alabama"	"01"	"Jul, 1980"	"1980/07"	26329.78
	"Alabama"	"01"	"Aug, 1980"	"1980/08"	21392.62
	"Alabama"	"01"	"Sep, 1980"	"1980/09"	17428.98
	"Alabama"	"01"	"Oct, 1980"	"1980/10"	16741.07
	"Alabama"	"01"	"Nov, 1980"	"1980/11"	11366.77
	"Alabama"	"01"	"Dec, 1980"	"1980/12"	9742.57
	"Alabama"	"01"	"Jan, 1981"	"1981/01"	11018.25
	"Alabama"	"01"	"Feb, 1981"	"1981/02"	12075.19
	"Alabama"	"01"	"Mar, 1981"	"1981/03"	17616.62
	"Alabama"	"01"	"Apr, 1981"	"1981/04"	20722.69
	"Alabama"	"01"	"May, 1981"	"1981/05"	22845.90
	"Alabama"	"01"	"Jun, 1981"	"1981/06"	23967.40
	"Alabama"	"01"	"Jul, 1981"	"1981/07"	23862.12
	"Alabama"	"01"	"Aug, 1981"	"1981/08"	19432.48
	"Alabama"	"01"	"Sep, 1981"	"1981/09"	19351.21
	"Alabama"	"01"	"Oct, 1981"	"1981/10"	14257.91
	"Alabama"	"01"	"Nov, 1981"	"1981/11"	11524.45
	"Alabama"	"01"	"Dec, 1981"	"1981/12"	8775.06
	"Alabama"	"01"	"Jan, 1982"	"1982/01"	9825.44
	"Alabama"	"01"	"Feb, 1982"	"1982/02"	11666.63
	"Alabama"	"01"	"Mar, 1982"	"1982/03"	15987.67
	"Alabama"	"01"	"Apr, 1982"	"1982/04"	18452.10
	"Alabama"	"01"	"May, 1982"	"1982/05"	23018.79
	"Alabama"	"01"	"Jun, 1982"	"1982/06"	23130.95
	"Alabama"	"01"	"Jul, 1982"	"1982/07"	20058.89
	"Alabama"	"01"	"Aug, 1982"	"1982/08"	19050.56
	"Alabama"	"01"	"Sep, 1982"	"1982/09"	17888.68
	"Alabama"	"01"	"Oct, 1982"	"1982/10"	15018.20
	"Alabama"	"01"	"Nov, 1982"	"1982/11"	10307.72
	"Alabama"	"01"	"Dec, 1982"	"1982/12"	8870.62
	"Alabama"	"01"	"Jan, 1983"	"1983/01"	9515.62
	"Alabama"	"01"	"Feb, 1983"	"1983/02"	11386.64
	"Alabama"	"01"	"Mar, 1983"	"1983/03"	15660.49
	"Alabama"	"01"	"Apr, 1983"	"1983/04"	20276.98
	"Alabama"	"01"	"May, 1983"	"1983/05"	23322.60
	"Alabama"	"01"	"Jun, 1983"	"1983/06"	20855.60
	"Alabama"	"01"	"Jul, 1983"	"1983/07"	24090.38
	"Alabama"	"01"	"Aug, 1983"	"1983/08"	20652.61
	"Alabama"	"01"	"Sep, 1983"	"1983/09"	17997.98
	"Alabama"	"01"	"Oct, 1983"	"1983/10"	15496.71
	"Alabama"	"01"	"Nov, 1983"	"1983/11"	10712.01
	"Alabama"	"01"	"Dec, 1983"	"1983/12"	9020.90
	"Alabama"	"01"	"Jan, 1984"	"1984/01"	10040.36
	"Alabama"	"01"	"Feb, 1984"	"1984/02"	12770.75
	"Alabama"	"01"	"Mar, 1984"	"1984/03"	16722.84
	"Alabama"	"01"	"Apr, 1984"	"1984/04"	19286.02
	"Alabama"	"01"	"May, 1984"	"1984/05"	23698.69
	"Alabama"	"01"	"Jun, 1984"	"1984/06"	23352.36
	"Alabama"	"01"	"Jul, 1984"	"1984/07"	21740.97
	"Alabama"	"01"	"Aug, 1984"	"1984/08"	19736.79
	"Alabama"	"01"	"Sep, 1984"	"1984/09"	19194.17
	"Alabama"	"01"	"Oct, 1984"	"1984/10"	14594.67
	"Alabama"	"01"	"Nov, 1984"	"1984/11"	11393.32
	"Alabama"	"01"	"Dec, 1984"	"1984/12"	9432.32
	"Alabama"	"01"	"Jan, 1985"	"1985/01"	9466.08
	"Alabama"	"01"	"Feb, 1985"	"1985/02"	11530.22
	"Alabama"	"01"	"Mar, 1985"	"1985/03"	15913.88
	"Alabama"	"01"	"Apr, 1985"	"1985/04"	20271.04
	"Alabama"	"01"	"May, 1985"	"1985/05"	22669.82
	"Alabama"	"01"	"Jun, 1985"	"1985/06"	22839.46
	"Alabama"	"01"	"Jul, 1985"	"1985/07"	20901.21
	"Alabama"	"01"	"Aug, 1985"	"1985/08"	18863.50
	"Alabama"	"01"	"Sep, 1985"	"1985/09"	17157.22
	"Alabama"	"01"	"Oct, 1985"	"1985/10"	13388.52
	"Alabama"	"01"	"Nov, 1985"	"1985/11"	10335.18
	"Alabama"	"01"	"Dec, 1985"	"1985/12"	9671.99
	"Alabama"	"01"	"Jan, 1986"	"1986/01"	10421.85
	"Alabama"	"01"	"Feb, 1986"	"1986/02"	13003.90
	"Alabama"	"01"	"Mar, 1986"	"1986/03"	18531.95
	"Alabama"	"01"	"Apr, 1986"	"1986/04"	21733.39
	"Alabama"	"01"	"May, 1986"	"1986/05"	21881.80
	"Alabama"	"01"	"Jun, 1986"	"1986/06"	22458.57
	"Alabama"	"01"	"Jul, 1986"	"1986/07"	23755.53
	"Alabama"	"01"	"Aug, 1986"	"1986/08"	19926.79
	"Alabama"	"01"	"Sep, 1986"	"1986/09"	16428.46
	"Alabama"	"01"	"Oct, 1986"	"1986/10"	14436.24
	"Alabama"	"01"	"Nov, 1986"	"1986/11"	8811.69
	"Alabama"	"01"	"Dec, 1986"	"1986/12"	8223.56
	"Alabama"	"01"	"Jan, 1987"	"1987/01"	9628.41
	"Alabama"	"01"	"Feb, 1987"	"1987/02"	10366.84
	"Alabama"	"01"	"Mar, 1987"	"1987/03"	16709.65
	"Alabama"	"01"	"Apr, 1987"	"1987/04"	21314.04
	"Alabama"	"01"	"May, 1987"	"1987/05"	19323.21
	"Alabama"	"01"	"Jun, 1987"	"1987/06"	21428.16
	"Alabama"	"01"	"Jul, 1987"	"1987/07"	24716.34
	"Alabama"	"01"	"Aug, 1987"	"1987/08"	20231.94
	"Alabama"	"01"	"Sep, 1987"	"1987/09"	17408.90
	"Alabama"	"01"	"Oct, 1987"	"1987/10"	17689.14
	"Alabama"	"01"	"Nov, 1987"	"1987/11"	11412.17
	"Alabama"	"01"	"Dec, 1987"	"1987/12"	9146.56
	"Alabama"	"01"	"Jan, 1988"	"1988/01"	9789.25
	"Alabama"	"01"	"Feb, 1988"	"1988/02"	12584.32
	"Alabama"	"01"	"Mar, 1988"	"1988/03"	17534.15
	"Alabama"	"01"	"Apr, 1988"	"1988/04"	21271.76
	"Alabama"	"01"	"May, 1988"	"1988/05"	25759.04
	"Alabama"	"01"	"Jun, 1988"	"1988/06"	24650.79
	"Alabama"	"01"	"Jul, 1988"	"1988/07"	21335.72
	"Alabama"	"01"	"Aug, 1988"	"1988/08"	19266.11
	"Alabama"	"01"	"Sep, 1988"	"1988/09"	15446.12
